A1,B1,C1,C3,D1,E1,F,G,H,I,D2,E2,A2,B2,C2,Target
1,0,0,0,0,0,35.06,1.07,0,46.28,0.0,0.0,0.22,0.0,0.0,0
1,0,0,0,0,0,40.4,0.73,0,91.22,0.0,0.0,0.11,0.0,0.0,0
1,0,0,0,0,0,41.98,3.11,1,6.5,0.0,0.0,1.54,0.0,0.0,0
1,0,0,0,0,0,51.95,7.66,0,3.27,0.0,0.0,3.05,0.0,0.0,0
4,0,0,0,0,0,46.66,5.88,1,8.21,0.0,0.0,4.87,0.0,0.0,0
204,0,0,0,0,0,36.33,0.46,0,163.5,0.0,0.0,12.48,0.0,0.0,0
1,0,0,0,0,0,34.33,1.47,0,1.21,0.0,0.0,8.27,0.0,0.0,0
1,0,0,0,0,0,34.37,1.77,0,1.58,0.0,0.0,6.32,0.0,0.0,0
1,0,0,0,0,0,65.49,18.18,1,82.04,0.0,0.0,0.12,0.0,0.0,0
1,0,0,0,0,0,43.93,3.16,0,10.99,0.0,0.0,0.91,0.0,0.0,0
1,0,0,0,0,0,38.93,1.85,0,6.99,0.0,0.0,1.43,0.0,0.0,0
27,0,0,0,7,2,47.1,0.03,0,40.0,1.75,0.5,6.75,0.0,0.0,0
1,0,0,0,0,0,34.29,1.51,0,3.41,0.0,0.0,2.93,0.0,0.0,0
219,0,0,0,0,0,46.55,5.69,0,265.76,0.0,0.0,8.24,0.0,0.0,0
2,0,0,0,0,0,50.1,5.8,0,17.23,0.0,0.0,1.16,0.0,0.0,0
3,0,0,0,0,0,60.81,16.52,1,7.0,0.0,0.0,4.28,0.0,0.0,0
2,0,0,0,0,0,44.69,3.06,0,1.06,0.0,0.0,18.78,0.0,0.0,0
1,0,0,0,0,0,43.36,3.76,0,0.51,0.0,0.0,19.53,0.0,0.0,0
1,0,0,0,0,0,60.95,16.65,1,4.03,0.0,0.0,2.48,0.0,0.0,0
1,0,0,0,0,0,37.95,10.48,1,0.45,0.0,0.0,22.32,0.0,0.0,0
1,0,0,0,0,0,32.64,6.96,1,0.92,0.0,0.0,10.92,0.0,0.0,0
1,0,0,0,0,0,50.37,6.07,0,4.79,0.0,0.0,2.09,0.0,0.0,0
43,0,0,0,0,0,31.94,6.94,1,40.34,0.0,0.0,10.66,0.0,0.0,0
20,0,0,0,0,0,36.72,6.55,1,313.64,0.0,0.0,0.64,0.0,0.0,0
18,0,0,0,0,0,46.56,0.5,0,27.56,0.0,0.0,6.53,0.0,0.0,0
1235,0,0,0,0,0,38.48,2.38,0,1472.2,0.0,0.0,8.39,0.0,0.0,0
37,0,0,0,1,0,44.66,2.4,1,58.23,0.17,0.0,6.35,0.0,0.0,0
3,0,0,0,0,0,36.76,1.2,0,98.94,0.0,0.0,0.3,0.0,0.0,0
12284,10,0,0,0,1,53.57,1.57,0,14222.9,0.0,0.0,8.64,0.7,0.0,0
2,0,0,0,0,0,37.75,1.13,0,9.76,0.0,0.0,2.05,0.0,0.0,0
3,0,0,0,0,0,28.5,7.64,0,65.65,0.0,0.0,0.46,0.0,0.0,0
1,0,0,0,0,0,42.99,1.68,0,103.21,0.0,0.0,0.1,0.0,0.0,0
6,0,0,0,0,0,19.75,21.03,1,13.56,0.0,0.0,4.43,0.0,0.0,0
1,0,0,0,0,0,45.45,5.86,0,0.66,0.0,0.0,15.15,0.0,0.0,0
2,0,0,0,0,0,75.05,26.37,1,81.42,0.0,0.0,0.25,0.0,0.0,0
11,0,0,0,0,0,39.44,1.34,0,28.96,0.0,0.0,3.8,0.0,0.0,0
8,0,0,0,0,0,40.07,2.57,0,22.39,0.0,0.0,3.57,0.0,0.0,0
14,0,0,0,0,0,11.3,30.34,1,40.39,0.0,0.0,3.47,0.0,0.0,0
482,0,0,0,0,0,62.38,14.96,1,578.13,0.0,0.0,8.34,0.0,0.0,0
1,0,1,1,0,0,46.67,1.76,0,0.87,0.0,0.0,11.49,0.0,1149.43,0
2016,9,0,0,3,34,45.0,1.81,0,1730.88,0.02,0.2,11.65,5.2,0.0,0
5,0,0,0,0,0,36.5,5.13,0,3.39,0.0,0.0,14.77,0.0,0.0,0
3,0,0,0,0,0,49.79,2.55,0,4.86,0.0,0.0,6.17,0.0,0.0,0
1,0,0,0,0,0,39.19,5.1,0,8.42,0.0,0.0,1.19,0.0,0.0,0
1,0,0,0,0,0,38.54,2.12,0,16.55,0.0,0.0,0.6,0.0,0.0,0
